,inmueble,municipio,clave_ct,responsable,turno,nombre_ct,director,nivel,matricula,docente,grupos,aulas_existentes,aulas_uso,inversion_tiempo_completo_2014,inversion_tiempo_completo_2015,beneficiarios_alimentos_dif_2014,inversion_aulas_interactivas_2015,inversion_aulas_interactivas_2014,inversion_aulas_interactivas_2013,aulas_interactivas_observacion,inversion_aulas_provisionales_2013,inversion_aulas_provisionales_2014,inversion_aulas_provisionales_2015,aulas_provisionales_observacion,conectividad,inversion_pec_2013,observacion_pec2013,inversion_pec_2014,observacion_pec2014,inversion_mobiliario,observacion_mobiliario,inversion_excelencia_2014,inversion_pes_2013,inversion_pes_2014,inversion_coniba_2013,inversion_escuela_digna_2013,inversion_fonden_2013,inversion_programa_sana_2013,inversion_coniba_2014,inversion_escuelas_de_tiempo_completo_2014,inversion_escuela_digna_2014,inversion_faeb_2014,inversion_fonden_2014,inversion_infraestructura_educativa_estatal_2014_(recurso_2013),inversion_programa_escuelas_de_excelencia_2014,inversion_programa_sana_2014,inversion_programa_coniba_2015,inversion_escuelas_de_tiempo_completo_2015_(recurso_2014),inversion_programa_escuela_digna_2015,inversion_faeb_2015,inversion_fonden_2015,inversion_infraestructura_educativa_estatal_2015_(recurso_2013),inversion_programa_escuelas_de_excelencia_2015_(recurso_2014),inversion_programa_sana_2015,otros_programas
10,1406858B,AHUALULCO DE MERCADO,14DPR0056B,R,MATUTINO,NIÃOS HEROES,JOSE DANIEL LOPEZ PARRA,PRIMARIA,190.0,6.0,6.0,6.0,6.0,,90000.0,BENEFICIARIOS = 100 / ALIMENTO CALIENTE,,,,,,,,,eJALISCO = 2 MB INSTALADO /INTERNET PARTICULAR /,,,,,245899.75,PIEZAS = 375 ALUMNOS =205 MATRICULA = 205,,,,,,,,,,,,,,,,,,,,,,,,
11,1406859F,AHUALULCO DE MERCADO,14EPR0011E,R,MATUTINO,BENITO JUAREZ,CATALINA VEGA OROZCO,PRIMARIA,212.0,9.0,9.0,16.0,9.0,90000.0,180000.0,,,,,,,,,,eJALISCO = 2 MB INSTALADO /INTERNET PARTICULAR /,60000.0,PEC XIII (2013 -2014) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=212,,,251683.85,PIEZAS = 370 ALUMNOS =195 MATRICULA = 195,,,,,,,,,,,,,,,,,,1000000.0,,,,,,
12,1406861X,AHUALULCO DE MERCADO,14EJN0072B,R,MATUTINO,NIÃO ARTILLERO,ROSA GARCIA RODRIGUEZ,PREESCOLAR,67.0,3.0,3.0,3.0,3.0,,,BENEFICIARIOS = 30 / ALIMENTO CALIENTE,,,,,,,,,eJALISCO = 2 MB INSTALADO /INTERNET PARTICULAR /,50000.0,PEC XIII (2013 -2014) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=67,49000.0,PEC XIV (2014 - 2015) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=62,46010.52,PIEZAS = 92 ALUMNOS =62 MATRICULA = 62,,,,,,,,,,,,,,,,,,,,,,,,
13,1406862B,AHUALULCO DE MERCADO,14EPR0013C,R,MATUTINO,JOSE MA MERCADO,ELVIRA FIGUEROA RIVERA,PRIMARIA,183.0,6.0,6.0,6.0,6.0,,,BENEFICIARIOS = 50 / ALIMENTO CALIENTE,,,,,,,,,eJALISCO = 2 MB INSTALADO /INTERNET PARTICULAR /,40000.0,PEC XIII (2013 -2014) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=183,49000.0,PEC XIV (2014 - 2015) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=183,220150.99,PIEZAS = 331 ALUMNOS =178 MATRICULA = 178,,,,,,,,,,,,,,,,,,,,,,,,
14,1406864J,AHUALULCO DE MERCADO,14DJN0261V,R,MATUTINO,PETRITA GODINEZ AGUAYO,LEONOR GUERRERO AVILA,PREESCOLAR,179.0,7.0,7.0,7.0,7.0,,,BENEFICIARIOS = 60 / ALIMENTO FRIO,,,,,,,,,eJALISCO = 2 MB INSTALADO /,,,,,115970.88,PIEZAS = 237 ALUMNOS =162 MATRICULA = 162,,,,,,,,,,,,,,,,,,,,,,,,
15,1406865C,AHUALULCO DE MERCADO,14DJN1446H,R,MATUTINO,FEDERICO FROEBEL,MARIA LEOCRICIA GARCIA ALDAZ,PREESCOLAR,26.0,1.0,3.0,2.0,1.0,,,BENEFICIARIOS = 10 / ALIMENTO CALIENTE,,,,,,,1000000.0,TOTAL DE AULAS = 2/ POR SUSTITUIR USO EDUC = 2/ OTRO USO = 0/ OBSERVACIONES USO EDUCATIVO/ SUST 2013 =0/ SUST 2014 =0/ SUST 2015 =2,eJALISCO = 2 MB INSTALADO /,,,,,15162.84,PIEZAS = 30 ALUMNOS =20 MATRICULA = 57,,,,,,,,,,,,,,,,,,,,,,,,
16,1406866G,AHUALULCO DE MERCADO,14EJN0782B,R,MATUTINO,JUAN ESCUTIA,ELVIRA LEMUS ESCATEL,PREESCOLAR,178.0,6.0,6.0,6.0,6.0,,,BENEFICIARIOS = 20 / ALIMENTO FRIO,,,,,,,,,eJALISCO = 2 MB INSTALADO /INTERNET PARTICULAR /,70000.0,PEC XIII (2013 -2014) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=178,69000.0,PEC XIV (2014 - 2015) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=178,118155.84,PIEZAS = 250 ALUMNOS =174 MATRICULA = 174,,,,,,,,,,,,,,,,,,,,,,,,
17,1406867K,AHUALULCO DE MERCADO,14DES0008L,R,MATUTINO,JOSE MA MERCADO,OLGA MARGARITA POLANCO DURAN,SECUNDARIA,722.0,23.0,18.0,18.0,18.0,,,,900000.0,,,ESTADO = INSTALADO / AULAS INTERACTIVAS = 18,,,,,"eJALISCO = 2 MB INSTALADO /eMEXICO = 0,512 MB INSTALADO /INTERNET PARTICULAR /",,,,,597662.32,PIEZAS = 760 ALUMNOS =706 MATRICULA = 939,,,,,,,,,,,,,,,,,,,,,,,,
18,1406867K,AHUALULCO DE MERCADO,14DES0008L,L,VESPERTINO,JOSE MA MERCADO,OLGA MARGARITA POLANCO DURAN,SECUNDARIA,230.0,10.0,9.0,18.0,9.0,,,,,,,ESTADO = INSTALADO / AULAS INTERACTIVAS = 18,,,,,"eJALISCO = 2 MB INSTALADO /eMEXICO = 0,512 MB INSTALADO /INTERNET PARTICULAR /",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1406868D,AHUALULCO DE MERCADO,14DPR2726O,R,MATUTINO,MA LUISA VALENCIA,JOSE LUIS IBARRA MATA,PRIMARIA,187.0,7.0,7.0,8.0,7.0,,90000.0,BENEFICIARIOS = 40 / ALIMENTO CALIENTE,,,,,,,,,eJALISCO = 2 MB INSTALADO /INTERNET PARTICULAR /,,,53700.0,PEC XIV (2014 - 2015) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=187,237302.31,PIEZAS = 354 ALUMNOS =189 MATRICULA = 189,,,,,,,,,,,,,,,,,,,,,,,700150.2,
20,1406869H,AHUALULCO DE MERCADO,14DJN0567M,R,MATUTINO,GUSTAVO DIAZ ORDAZ,MA. DOLORES GARCIA RODRIGUEZ,PREESCOLAR,71.0,4.0,4.0,5.0,4.0,,,BENEFICIARIOS = 50 / ALIMENTO CALIENTE,,,,,,,,,eJALISCO = 2 MB INSTALADO /,80000.0,PEC XIII (2013 -2014) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=71,,,53691.36,PIEZAS = 104 ALUMNOS =69 MATRICULA = 69,,,,,,,,,,,,,,,,,,,,,,,,
21,1406870G,AHUALULCO DE MERCADO,14DES0048M,R,MATUTINO,LUIS MANUEL ROJAS,ELOISA FIGUEROA AHUMADA,SECUNDARIA,122.0,10.0,5.0,6.0,5.0,,,,,,250000.0,ESTADO = INSTALADO / AULAS INTERACTIVAS = 5,,,,,eJALISCO = 2 MB INSTALADO /INTERNET PARTICULAR /,60000.0,PEC XIII (2013 -2014) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=122,69000.0,PEC XIV (2014 - 2015) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=122,111249.2,PIEZAS = 137 ALUMNOS =122 MATRICULA = 122,,,,,,,,,,,,,,,,,,,,,,,,
22,1406871K,AHUALULCO DE MERCADO,14DPR2725P,R,MATUTINO,JOSE MA MORELOS Y PAVON,PERLA IDANIA GUERRERO ORTEGA,PRIMARIA,37.0,2.0,6.0,6.0,2.0,,,BENEFICIARIOS = 30 / ALIMENTO CALIENTE,,,,,,,,,eJALISCO = 2 MB INSTALADO /,,,,,50941.92,PIEZAS = 72 ALUMNOS =36 MATRICULA = 36,81150.04,,,,,,,,,,,,,,,,,,,,,416150.0,,
23,1406872D,AHUALULCO DE MERCADO,14DTV0535J,R,MATUTINO,CUAUHTEMOC,MA. DEL CARMEN VARO CARRILLO,SECUNDARIA,15.0,2.0,3.0,3.0,3.0,,,,,,,,,,,,eJALISCO = 2 MB INSTALADO /,,,,,22477.48,PIEZAS = 25 ALUMNOS =19 MATRICULA = 19,,,,,,,,,,,,,,,,,,,,,,,,
24,1406873H,AHUALULCO DE MERCADO,14DJN0423Q,R,MATUTINO,EMILIANO ZAPATA,ALICIA MORA HERNANDEZ,PREESCOLAR,19.0,1.0,3.0,1.0,1.0,,,BENEFICIARIOS = 20 / ALIMENTO CALIENTE,,,,,,,,,eJALISCO = 2 MB INSTALADO /,,,49000.0,PEC XIV (2014 - 2015) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=17,13562.04,PIEZAS = 26 ALUMNOS =17 MATRICULA = 17,,,,,,,,,,,,,,,,,,,,,,,,
25,1406874A,AHUALULCO DE MERCADO,14DPR2233C,R,MATUTINO,BENITO JUAREZ,REFUGIO ENRIQUE GOMEZ QUINTERO,PRIMARIA,13.0,1.0,5.0,1.0,1.0,,,BENEFICIARIOS = 15 / ALIMENTO CALIENTE,,,,,,,,,eJALISCO = 2 MB INSTALADO /,,,,,19853.51,PIEZAS = 28 ALUMNOS =14 MATRICULA = 14,,,,,,,,,,,,,,,,,,,,,,,,
26,1406875E,AHUALULCO DE MERCADO,14DPR2157N,R,MATUTINO,GUILLERMO PRIETO,ANGELICA IVETT FLORES CARDENAS,PRIMARIA,8.0,1.0,5.0,1.0,1.0,,,BENEFICIARIOS = 5 / ALIMENTO CALIENTE,,,,,,,,,,,,,,11398.7,PIEZAS = 15 ALUMNOS =7 MATRICULA = 7,,,,,,,,,,,,,,,,,,,,,,,,
27,1406876X,AHUALULCO DE MERCADO,14DJN0617D,R,MATUTINO,MARIANO ABASOLO,LOURDES MARGARITA SUAREZ ROMERO,PREESCOLAR,75.0,4.0,4.0,4.0,4.0,,,BENEFICIARIOS = 60 / ALIMENTO CALIENTE,,,,,,,,,eJALISCO = 2 MB INSTALADO /,60000.0,PEC XIII (2013 -2014) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=75,49000.0,PEC XIV (2014 - 2015) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=90,64896.96,PIEZAS = 132 ALUMNOS =90 MATRICULA = 90,,,,,,,,,,,,,,,,,,,,,,,,
28,1406877B,AHUALULCO DE MERCADO,14DPR2743E,R,MATUTINO,EMILIANO ZAPATA,CESAR OCTAVIO NUÃO DONATO,PRIMARIA,206.0,8.0,8.0,10.0,8.0,,90000.0,,,,,,,,,,eJALISCO = 2 MB INSTALADO /,,,67000.0,PEC XIV (2014 - 2015) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=170,210122.3,PIEZAS = 315 ALUMNOS =170 MATRICULA = 170,,,,,,,,,,,,,,,,,,,,,,,,
29,1406878F,AHUALULCO DE MERCADO,14DTV0275N,R,MATUTINO,MARIANO BARCENAS,ALFREDO HERNANDEZ VENEGAS,SECUNDARIA,103.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,eJALISCO = 2 MB INSTALADO /INTERNET PARTICULAR /,,,,,115683.2,PIEZAS = 143 ALUMNOS =128 MATRICULA = 128,,,,,,,,,,,,,,,,,,,,,,,,
30,1406879J,AHUALULCO DE MERCADO,14EJN0896D,R,MATUTINO,LEONARDO OLIVA,ELVA NUÃEZ NUÃEZ,PREESCOLAR,7.0,1.0,3.0,1.0,1.0,,,BENEFICIARIOS = 5 / ALIMENTO CALIENTE,,,,,,,,,,,,,,7680.84,PIEZAS = 12 ALUMNOS =7 MATRICULA = 7,,,,,,,,,,,,,,,,,,,,,,,,
31,1406880X,AHUALULCO DE MERCADO,14DPR2234B,R,MATUTINO,VALENTIN GOMEZ FARIAS,JOSEFINA REYES ORTIZ,PRIMARIA,17.0,1.0,6.0,2.0,2.0,,,BENEFICIARIOS = 15 / ALIMENTO CALIENTE,,,,,,,,,eJALISCO = 2 MB INSTALADO /,,,,,24196.61,PIEZAS = 35 ALUMNOS =18 MATRICULA = 18,,,,,,,,,,,,,,,,,,,,,,,,
32,1406881B,AHUALULCO DE MERCADO,14DJN0703Z,R,MATUTINO,JOSE MA MORELOS Y PAVON,CARMEN LUZ BARAJAS DAVILA,PREESCOLAR,100.0,4.0,4.0,4.0,4.0,,,BENEFICIARIOS = 30 / ALIMENTO CALIENTE,,,,,,,500000.0,TOTAL DE AULAS = 1/ POR SUSTITUIR USO EDUC = 1/ OTRO USO = 0/ OBSERVACIONES USO EDUCATIVO/ SUST 2013 =0/ SUST 2014 =0/ SUST 2015 =1,eJALISCO = 2 MB INSTALADO /,,,,,69960.36,PIEZAS = 145 ALUMNOS =100 MATRICULA = 100,,,,,,,,,,,,,,,,,,,,,,,,
33,1406882F,AHUALULCO DE MERCADO,14DPR2732Z,R,MATUTINO,JOSE MA MORELOS Y PAVON,PEDRO CARRILLO LOZANO,PRIMARIA,187.0,7.0,7.0,8.0,7.0,90000.0,180000.0,,,,,,,,,,eJALISCO = 2 MB INSTALADO /,110000.0,PEC XIII (2013 -2014) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=187,,,238904.27,PIEZAS = 357 ALUMNOS =191 MATRICULA = 191,,,,,,,,,,,,,,,,,,,,,,,,
34,1406883J,AHUALULCO DE MERCADO,14DJN0613H,R,MATUTINO,LAZARO CARDENAS DEL RIO,OLGA RAMIREZ ROSALES,PREESCOLAR,52.0,2.0,3.0,2.0,2.0,,,BENEFICIARIOS = 30 / ALIMENTO CALIENTE,,,,,,,,,eJALISCO = 2 MB INSTALADO /,,,49000.0,PEC XIV (2014 - 2015) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=52,35911.08,PIEZAS = 75 ALUMNOS =52 MATRICULA = 52,,,,,,,,,,,,,,,,,,,,,,,,
35,1406884C,AHUALULCO DE MERCADO,14DPR2744D,R,MATUTINO,LUIS DE LA PEÃA,VICTOR HUGO CORDOVA RUVALCABA,PRIMARIA,127.0,6.0,6.0,6.0,6.0,,90000.0,BENEFICIARIOS = 75 / ALIMENTO CALIENTE,,,,,,,,,eJALISCO = 2 MB INSTALADO /,110000.0,PEC XIII (2013 -2014) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=127,69000.0,PEC XIV (2014 - 2015) / APOYO TÃCNICO PEDAGÃGICO Y FINANCIERO BENEFICIADOS=122,153651.69,PIEZAS = 228 ALUMNOS =122 MATRICULA = 122,,,10000.0,,,,,,,,,,,,,,,,,,,,,
36,1406885G,AHUALULCO DE MERCADO,14DTV0204T,R,MATUTINO,MIGUEL HIDALGO,RAMON CASTILLO ROBLES,SECUNDARIA,114.0,6.0,6.0,6.0,6.0,,,,,,,,,,500000.0,"TOTAL DE AULAS = 1/ POR SUSTITUIR USO EDUC = 1/ OTRO USO = 0/ OBSERVACIONES USO EDUCATIVO, UNA FOTO NO CORRESPONDE/ SUST 2013 =0/ SUST 2014 =0/ SUST 2015 =1",eJALISCO = 2 MB INSTALADO /,,,,,125074.44,PIEZAS = 153 ALUMNOS =135 MATRICULA = 135,,,,,,,,,,,,,,,,,,,,,,,,
37,1406886K,AMATITAN,14DJN0375X,R,MATUTINO,MANUEL M PONCE,ILIANA INOCENCIA BONILLA LOPEZ,PREESCOLAR,67.0,4.0,4.0,4.0,4.0,,,BENEFICIARIOS = 60 / ALIMENTO CALIENTE,,,,,,,,,eJALISCO = 2 MB INSTALADO /MC2 = 20 MB INSTALADO /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1406887D,AMATITAN,14EJN0988U,R,MATUTINO,FRANCISCO MARQUEZ,HAYDEE PARTIDA CALDERON,PREESCOLAR,82.0,4.0,4.0,4.0,4.0,,,BENEFICIARIOS = 80 / ALIMENTO CALIENTE,,,,,,,,TOTAL DE AULAS = 1/ POR SUSTITUIR USO EDUC = 0/ OTRO USO = 1/ OBSERVACIONES BODEGA/AULA AUDIOVISUAL/ SUST 2013 =0/ SUST 2014 =0/ SUST 2015 =0,eJALISCO = 2 MB INSTALADO /MC2 = 20 MB INSTALADO /,,,,,,,50000.0,,,,,,,,,,,,,,,,,,,,,,,
39,1406890K,AMATITAN,14DST0012Q,R,MATUTINO,ESCUELA SECUNDARIA TECNICA 12,JOSE DE JESUS VARGAS PEÃA,SECUNDARIA,440.0,15.0,11.0,11.0,11.0,,,,,,550000.0,ESTADO = INSTALADO / AULAS INTERACTIVAS = 11,,,,,"eJALISCO = 2 MB INSTALADO /eMEXICO = 0,512 MB INSTALADO /INTERNET PARTICULAR /",,,,,,,129901.07,,,2060821.85,,,,,,,,,,,,,,,,,,698629.99,,
40,1406890K,AMATITAN,14DST0012Q,L,VESPERTINO,ESCUELA SECUNDARIA TECNICA 12,JOSE DE JESUS VARGAS PEÃA,SECUNDARIA,341.0,13.0,9.0,11.0,9.0,,,,,,,ESTADO = INSTALADO / AULAS INTERACTIVAS = 11,,,,,"eJALISCO = 2 MB INSTALADO /eMEXICO = 0,512 MB INSTALADO /INTERNET PARTICULAR /",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1406891D,AMATITAN,14DJN0366P,R,MATUTINO,MANUEL AVILA CAMACHO,ZOILA XITLADITH AMARAL TOPETE,PREESCOLAR,68.0,4.0,4.0,4.0,4.0,,,BENEFICIARIOS = 65 / ALIMENTO CALIENTE,,,,,,,500000.0,TOTAL DE AULAS = 1/ POR SUSTITUIR USO EDUC = 1/ OTRO USO = 0/ OBSERVACIONES USO EDUCATIVO/ SUST 2013 =0/ SUST 2014 =0/ SUST 2015 =1,eJALISCO = 2 MB INSTALADO /MC2 = 20 MB INSTALADO /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1406892H,AMATITAN,14DPR3030O,R,MATUTINO,GABRIELA MISTRAL,MARTHA RODRIGUEZ ALDANA,PRIMARIA,190.0,7.0,7.0,8.0,7.0,,,BENEFICIARIOS = 40 / ALIMENTO CALIENTE,,,,,,,,TOTAL DE AULAS = 1/ POR SUSTITUIR USO EDUC = 0/ OTRO USO = 1/ OBSERVACIONES BODEGA/ SUST 2013 =0/ SUST 2014 =0/ SUST 2015 =0,eJALISCO = 2 MB INSTALADO /MC2 = 20 MB INSTALADO /INTERNET PARTICULAR /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1406893A,AMATITAN,14EPR0021L,R,MATUTINO,LEONA VICARIO,DORA MARIA OSUNA GOMEZ,PRIMARIA,455.0,12.0,12.0,14.0,12.0,,,BENEFICIARIOS = 170 / ALIMENTO CALIENTE,,,,,,,,,eJALISCO = 10 MB INSTALADO /MC2 = 20 MB INSTALADO /,,,,,,,,,8313.82,,,,,,,,,,,,,,,,,,,,,
44,1406893A,AMATITAN,14EPR0020M,L,VESPERTINO,MANUEL DE SAN JUAN C NAJERA,MARIA DEL SOCORRO CONTRERAS RIVERA,PRIMARIA,330.0,12.0,12.0,14.0,12.0,,,BENEFICIARIOS = 160 / ALIMENTO CALIENTE,,,,,,,,,eJALISCO = 10 MB INSTALADO /MC2 = 20 MB INSTALADO /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,1406894E,AMATITAN,14DJN0225Q,R,MATUTINO,IGNACIO ZARAGOZA,CATALINA RODRIGUEZ NUÃEZ,PREESCOLAR,83.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,eJALISCO = 2 MB INSTALADO /MC2 = 20 MB INSTALADO /,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
